SentenceID,Transcript,Device
speaker04_f_n_utt06,kowe gelem dolan ing omahku sesuk esuk?,Redmi Note 9
speaker04_f_n_utt07,saben dina minggu aku mesti resik-resik kamar,Redmi Note 9
speaker04_f_n_utt08,kowe gelem melu aku lunga pasar orak?,Redmi Note 9
speaker04_f_n_utt09,sadurunge lunga aku arep masak sega dhisik,Redmi Note 9
speaker04_f_n_utt10,aku seneng banget ajar aksara jawa,Redmi Note 9
speaker04_f_n_utt11,moga-moga aku entuk nilai apik ing tugas iki,Redmi Note 9
speaker04_f_n_utt12,aku duwe kucing siji wernane abu-abu ing omah,Redmi Note 9
speaker04_f_n_utt13,ngrungoke lagu karo nggambar kuwi enak banget,Redmi Note 9
speaker04_f_n_utt14,keretane kok suwi banget ya,Redmi Note 9
speaker04_f_n_utt15,aku seneng dolanan karo kanca-kancaku,Redmi Note 9
speaker04_f_n_utt16,wingi wengi aku turu ana wolung jam,Redmi Note 9
speaker04_f_n_utt17,paling sesuk aku lunga kantor jam sanga,Redmi Note 9
speaker04_f_n_utt18,dinten punika kula badhe tindak kampus,Redmi Note 9
speaker04_f_n_utt19,aku wis ngenteni kanggo tuku panganan iki ana sak jam,Redmi Note 9
speaker04_f_n_utt20,ayo sesuk lunga bareng delok film anyar iki!,Redmi Note 9
speaker04_f_n_utt21,wengi iki kok hawane adem tenan ya,Redmi Note 9
speaker04_f_n_utt22,aku lali wingi udan apa orak,Redmi Note 9
speaker04_f_n_utt23,aku wis lungguh ing kursi iki ana telung jam,Redmi Note 9
speaker04_f_n_utt24,ngombe jus pas panas-panas ngene seger tenan,Redmi Note 9
speaker04_f_n_utt25,aja lali tuku oleh-oleh kanggo aku ya,Redmi Note 9
speaker04_f_n_utt26,angel tenan soal ujian iki!,Redmi Note 9
speaker04_f_n_utt27,sampun wonten selawe dinten wiwiting kula sumerep sampeyan,Redmi Note 9
speaker04_f_n_utt28,yen tangi esuk aku mesti ae ngantuk ing kelas,Redmi Note 9
speaker04_f_n_utt29,kucingku seneng banget mangan lan ora gelem obah,Redmi Note 9
speaker04_f_n_utt30,aku bingung arep nulis apa maneh,Redmi Note 9
speaker05_f_nn_utt01,aku arep lunga menyang pasar esuk iki,Iphone 16 Pro
speaker05_f_nn_utt02,adhiku lagi sinau matematika ning kamar,Iphone 16 Pro
speaker05_f_nn_utt03,ibu masak sega goreng kanggo sarapan,Iphone 16 Pro
speaker05_f_nn_utt04,bapak wis mulih saka kantor jam lima sore,Iphone 16 Pro
speaker05_f_nn_utt05,kowe wis mangan apa durung?,Iphone 16 Pro
speaker05_f_nn_utt06,awakku krasa lara sirah jalaran kurang turu,Iphone 16 Pro
speaker05_f_nn_utt07,bocah-bocah padha dolanan bal ning alun-alun,Iphone 16 Pro
speaker05_f_nn_utt08,"sepedaku rusak, dadi kudu didandani dhisik",Iphone 16 Pro
speaker05_f_nn_utt09,mbak Sari tuku klambi anyar ning mall,Iphone 16 Pro
speaker05_f_nn_utt10,udan deres banget wingi bengi,Iphone 16 Pro
speaker05_f_nn_utt11,kowe arep menyang endi sesuk?,Iphone 16 Pro
speaker05_f_nn_utt12,sapa sing ngajari kowe masak?,Iphone 16 Pro
speaker05_f_nn_utt13,pira regane buku iku?,Iphone 16 Pro
speaker05_f_nn_utt14,kapan kowe lunga menyang Jogja?,Iphone 16 Pro
speaker05_f_nn_utt15,neng ngendi kowe ketemu karo dheweke?,Iphone 16 Pro
speaker05_f_nn_utt16,ayo padha mangan bareng!,Iphone 16 Pro
speaker05_f_nn_utt17,tulung jupukke tas neng meja,Iphone 16 Pro
speaker05_f_nn_utt18,ojo lali ngunci lawang yen metu,Iphone 16 Pro
speaker05_f_nn_utt19,"entenana sedhela, aku arep ganti klambi",Iphone 16 Pro
speaker05_f_nn_utt20,reresik kamarmu saiki!,Iphone 16 Pro
speaker05_f_nn_utt21,omahku cedhak karo sekolahan,Iphone 16 Pro
speaker05_f_nn_utt22,Aku arep menyang pasar tuku sayur wae.,Iphone 16 Pro
speaker05_f_nn_utt23,hawane adem banget ning gunung,Iphone 16 Pro
speaker05_f_nn_utt24,simbah lagi lenggahan ning teras ngarep,Iphone 16 Pro
speaker05_f_nn_utt25,tandurane mbokde wis gedhe-gedhe kabeh,Iphone 16 Pro
speaker05_f_nn_utt26,aku ora bisa teka amarga lagi akeh gaweyan,Iphone 16 Pro
speaker05_f_nn_utt27,"yen udan, aku ora lunga sekolah",Iphone 16 Pro
speaker05_f_nn_utt28,dheweke seneng banget maca buku nalika luang,Iphone 16 Pro
speaker05_f_nn_utt29,mas Budi sing ngomong mengkono mau salah,Iphone 16 Pro
speaker05_f_nn_utt30,"sawise mangan, aku langsung turu amarga kesel",Iphone 16 Pro
speaker06_m_nn_utt01,sugeng rawuh wonten griya kula,Redmi 10
speaker06_m_nn_utt02,sami sami lan matur nuwun,Redmi 10
speaker06_m_nn_utt03,kula nyuwun pamit badhe wangsul,Redmi 10
speaker06_m_nn_utt04,kula mboten saged kaleh njenengan,Redmi 10
speaker06_m_nn_utt05,nyuwun ngapunten nggih kula ajeng dahar,Redmi 10
speaker06_m_nn_utt06,griya njenengan kathah nggih,Redmi 10
speaker06_m_nn_utt07,njo ngopi neng warung anyar kae,Redmi 10
speaker06_m_nn_utt08,sore iki udane gedi tenan,Redmi 10
speaker06_m_nn_utt09,omahku isih adoh,Redmi 10
speaker06_m_nn_utt10,adhi kulo gek sinau,Redmi 10
speaker06_m_nn_utt11,klambine apik tenan,Redmi 10
speaker06_m_nn_utt12,tuku neng endi,Redmi 10
speaker06_m_nn_utt13,kula arep ndelok bal-balan neng tv,Redmi 10
speaker06_m_nn_utt14,iki panganan sing apik,Redmi 10
speaker06_m_nn_utt15,kanca kancaku munggah gunung,Redmi 10
speaker06_m_nn_utt16,mangga dahar neng pawon nggih,Redmi 10
speaker06_m_nn_utt17,sak niki wangsul riyen nggih,Redmi 10
speaker06_m_nn_utt18,mangkeh teng meriki maleh,Redmi 10
speaker06_m_nn_utt19,kula ajeng dahar rien,Redmi 10
speaker06_m_nn_utt20,ajeng teng pundi mbak,Redmi 10
speaker06_m_nn_utt21,sugeng riyadi nggih,Redmi 10
speaker06_m_nn_utt22,ajeng nopo nopo kok anyis nggih,Redmi 10
speaker06_m_nn_utt23,larang tenan ki rega ne,Redmi 10
speaker06_m_nn_utt24,sega ne sampun telas,Redmi 10
speaker06_m_nn_utt25,dinten niki udan maleh,Redmi 10
speaker06_m_nn_utt26,mboten enten panganan,Redmi 10
speaker06_m_nn_utt27,kulo dijak teng pundi pundi,Redmi 10
speaker06_m_nn_utt28,sanes guyonan niki,Redmi 10
speaker06_m_nn_utt29,kula tumbas setunggal nggih griya ne,Redmi 10
speaker06_m_nn_utt30,pripun griyo kulo gedi to,Redmi 10
speaker07_m_n_utt01,Aku mangkat kerja kemringet amerga dioyak asu ning dalan,Samsung A32
speaker07_m_n_utt02,Klambiku teles kebes banjur diperes supaya garing,Samsung A32
speaker07_m_n_utt03,Masia kulina ngomong jawa jebul nggawe ukara ya angel,Samsung A32
speaker07_m_n_utt04,Ukara telu wae uwis angel saya meneh telung puluh,Samsung A32
speaker07_m_n_utt05,Sepurane yen ukarane ala-ala,Samsung A32
speaker07_m_n_utt06,Endhasku uwis ngelu mikir enem ukara,Samsung A32
speaker07_m_n_utt07,Iki penake diisi apa ya sing rada bener,Samsung A32
speaker07_m_n_utt08,Bojo kula masak sega goreng enak banget,Samsung A32
speaker07_m_n_utt09,Bapak sare kula siram,Samsung A32
speaker07_m_n_utt10,Kanca-kanca kula keleleken kolang-kaling kalih kilo,Samsung A32
speaker07_m_n_utt11,Joko Widodo presidenku saklawase,Samsung A32
speaker07_m_n_utt12,Ndelalah uwis entuk rolas ukara,Samsung A32
speaker07_m_n_utt13,Bapake kancaku rabi meneh karo randa anak loro,Samsung A32
speaker07_m_n_utt14,Dina iki aku lara weteng amerga mangan pedes,Samsung A32
speaker07_m_n_utt15,"Lha aku ora ngerti, kok takon aku?",Samsung A32
speaker07_m_n_utt16,Saben dina rasane adem ing Bandung,Samsung A32
speaker07_m_n_utt17,Kathok anyar werna abang iki sing nduweni sapa ya?,Samsung A32
speaker07_m_n_utt18,Aku arep dolan menyang omahe adhimu,Samsung A32
speaker07_m_n_utt19,"Metu dalan gedhe banjur nganan, omahe ana ing kiwa",Samsung A32
speaker07_m_n_utt20,Pit onthele mbah kakungku uwis ora bisa ditumpaki,Samsung A32
speaker07_m_n_utt21,Bu Sri sampun dhahar sareng Pak Supri,Samsung A32
speaker07_m_n_utt22,Sinau basa inggris supaya bisa sekolah adoh,Samsung A32
speaker07_m_n_utt23,Oleh-oleh khas Jogja iku bakpia pathok,Samsung A32
speaker07_m_n_utt24,"Yen ngitung sakwise rongpuluh, sing bener iku selikur",Samsung A32
speaker07_m_n_utt25,Aku tuku pit motor anyar regane slawe yuta,Samsung A32
speaker07_m_n_utt26,Udan gedhe ndek mau marai omahe budheku kebanjiran,Samsung A32
speaker07_m_n_utt27,Aja ngguwak sampah ing kali ya lur,Samsung A32
speaker07_m_n_utt28,Preinan sesuk aku pengin dolan ning grojogan sewu,Samsung A32
speaker07_m_n_utt29,Ora kabeh abdi dalem ing kraton nganggo blangkon,Samsung A32
speaker07_m_n_utt30,Pisan-pisan kudu nyoba urip ing Solo,Samsung A32
speaker08_m_nn_utt01,kula nyuwun idin supados saged mlebet rumiyin,
speaker08_m_nn_utt02,panjenengan kados pundi kabare dina menika,
speaker08_m_nn_utt03,kula badhe miwiti makarya sak menika,
speaker08_m_nn_utt04,mugi dinten panjenengan kasil kalampahan kanthi lancar,
speaker08_m_nn_utt05,kula nyuwun tulung supados dipun terangaken malih,
speaker08_m_nn_utt06,panjenengan saged paring wangsulan sakmenika,
speaker08_m_nn_utt07,kula nuwun sewu menawi wonten lepat,
speaker08_m_nn_utt08,mugi panjenengan tansah pinaringan sehat lan wilujeng,
speaker08_m_nn_utt09,kula badhe tindak dhisik nyuwun pangapunten,
speaker08_m_nn_utt10,panjenengan saged ngentosi kula sedhela,
speaker08_m_nn_utt11,kula badhe nglajengaken sinau sasampunipun nedha,
speaker08_m_nn_utt12,mugi rapat enjang saged lumampah kanthi tertib,
speaker08_m_nn_utt13,panjenengan saged paring pitedah menapa ingkang kedah kula tindakake,
speaker08_m_nn_utt14,kula nyuwun supados kersa ndherek rembugan,
speaker08_m_nn_utt15,panjenengan sampun siyap kangge miwiti pakaryan,
speaker08_m_nn_utt16,kula nyuwun wektu sedhela kangge mriksa berkas,
speaker08_m_nn_utt17,panjenengan saged maringi conto supados kula langkung mangertos,
speaker08_m_nn_utt18,kula kersa sinau babagan menika langkung jero,
speaker08_m_nn_utt19,panjenengan saged paring kabar menawi sampun rampung,
speaker08_m_nn_utt20,kula badhe nindakaken punapa ingkang sampun dipun dhawuhake,
speaker08_m_nn_utt21,panjenengan saged paring tulada ing cara nindakaken,
speaker08_m_nn_utt22,kula nyuwun supados dipun pangandikani kanthi cetha,
speaker08_m_nn_utt23,panjenengan saged ngandharaken jadwal dinten menika,
speaker08_m_nn_utt24,kula nyuwun pangapunten menawi ngganggu wekdal panjenengan,
speaker08_m_nn_utt25,panjenengan saged maringi katrangan langkung rinci,
speaker08_m_nn_utt26,kula badhe nyuwun pirsa menapa ingkang dipun perluaken,
speaker08_m_nn_utt27,panjenengan saged mriksa asil karya kula,
speaker08_m_nn_utt28,kula kersa ndherek rawuh ing pepanggihan enjang,
speaker08_m_nn_utt29,panjenengan saged maringi pitulung menawi mboten merepotaken,
speaker08_m_nn_utt30,kula nyuwun supados dipun aturi mlebet papan punika,
speaker09_m_nn_utt01,sugeng enjing ibu bapak,Iphone 17 Pro Max
speaker09_m_nn_utt02,sugeng siyang kanca sedaya,Iphone 17 Pro Max
speaker09_m_nn_utt03,sugeng sonten pak guru,Iphone 17 Pro Max
speaker09_m_nn_utt04,sugeng dalu simbah kakung,Iphone 17 Pro Max
speaker09_m_nn_utt05,kadospundi kabaripun panjenengan,Iphone 17 Pro Max
speaker09_m_nn_utt06,alhamdulillah sae pangestunipun,Iphone 17 Pro Max
speaker09_m_nn_utt07,matur nuwun sanget kagem pambiyantunipun,Iphone 17 Pro Max
speaker09_m_nn_utt08,nyuwun pangapunten menawi wonten kalepatan,Iphone 17 Pro Max
speaker09_m_nn_utt09,mangga pinarak rumiyin,Iphone 17 Pro Max
speaker09_m_nn_utt10,panjenengan badhe tindak pundi,Iphone 17 Pro Max
speaker09_m_nn_utt11,kula badhe nyuwun pirsa,Iphone 17 Pro Max
speaker09_m_nn_utt12,menapa kula saged mbiyantu panjenengan,Iphone 17 Pro Max
speaker09_m_nn_utt13,panjenengan kersa ngunjuk menapa,Iphone 17 Pro Max
speaker09_m_nn_utt14,kula badhe dhahar sekul pecel setunggal,Iphone 17 Pro Max
speaker09_m_nn_utt15,menawi kepareng kula badhe wangsul rumiyin,Iphone 17 Pro Max
speaker09_m_nn_utt16,panjenengan sampun kersa dhahar enjing menapa dereng,Iphone 17 Pro Max
speaker09_m_nn_utt17,ibu saweg nyiapaken dhaharan kagem sarapan,Iphone 17 Pro Max
speaker09_m_nn_utt18,kula ajeng mundhut sekul goreng ing warung ngajeng,Iphone 17 Pro Max
speaker09_m_nn_utt19,kula badhe siram rumiyin,Iphone 17 Pro Max
speaker09_m_nn_utt20,kula bidhal dhateng kantor jam pitu enjing,Iphone 17 Pro Max
speaker09_m_nn_utt21,piyambakipun nembe nindakaken sholat,Iphone 17 Pro Max
speaker09_m_nn_utt22,kula sampun dhahar kalawau enjing,Iphone 17 Pro Max
speaker09_m_nn_utt23,mangke sonten kula badhe sinau,Iphone 17 Pro Max
speaker09_m_nn_utt24,kula badhe mundhut gendhis kalih tigan ing warung,Iphone 17 Pro Max
speaker09_m_nn_utt25,adhik kula nembe nggarap tugas sekolah,Iphone 17 Pro Max
speaker09_m_nn_utt26,nyuwun tulung dipunpundhutaken buku kula,Iphone 17 Pro Max
speaker09_m_nn_utt27,mugi-mugi perjalanan panjenengan pinaringan slamet,Iphone 17 Pro Max
speaker09_m_nn_utt28,kula ndherek pirsa dalemipun pak lurah,Iphone 17 Pro Max
speaker09_m_nn_utt29,sakmenika sampun jam sedasa kirang seprapat,Iphone 17 Pro Max
speaker09_m_nn_utt30,mangga dipun unjuk kopinipun,Iphone 17 Pro Max
speaker10_m_[n|nn]_utt01,,
speaker10_m_[n|nn]_utt02,,
speaker10_m_[n|nn]_utt03,,
speaker10_m_[n|nn]_utt04,,
speaker10_m_[n|nn]_utt05,,
speaker10_m_[n|nn]_utt06,,
speaker10_m_[n|nn]_utt07,,
speaker10_m_[n|nn]_utt08,,
speaker10_m_[n|nn]_utt09,,
speaker10_m_[n|nn]_utt10,,
speaker10_m_[n|nn]_utt11,,
speaker10_m_[n|nn]_utt12,,
speaker10_m_[n|nn]_utt13,,
speaker10_m_[n|nn]_utt14,,
speaker10_m_[n|nn]_utt15,,
speaker10_m_[n|nn]_utt16,,
speaker10_m_[n|nn]_utt17,,
speaker10_m_[n|nn]_utt18,,
speaker10_m_[n|nn]_utt19,,
speaker10_m_[n|nn]_utt20,,
speaker10_m_[n|nn]_utt21,,
speaker10_m_[n|nn]_utt22,,
speaker10_m_[n|nn]_utt23,,
speaker10_m_[n|nn]_utt24,,
speaker10_m_[n|nn]_utt25,,
speaker10_m_[n|nn]_utt26,,
speaker10_m_[n|nn]_utt27,,
speaker10_m_[n|nn]_utt28,,
speaker10_m_[n|nn]_utt29,,
speaker10_m_[n|nn]_utt30,,
speaker11_m_[n|nn]_utt01,,
speaker11_m_[n|nn]_utt02,,
speaker11_m_[n|nn]_utt03,,
speaker11_m_[n|nn]_utt04,,
speaker11_m_[n|nn]_utt05,,
speaker11_m_[n|nn]_utt06,,
speaker11_m_[n|nn]_utt07,,
speaker11_m_[n|nn]_utt08,,
speaker11_m_[n|nn]_utt09,,
speaker11_m_[n|nn]_utt10,,
speaker11_m_[n|nn]_utt11,,
speaker11_m_[n|nn]_utt12,,
speaker11_m_[n|nn]_utt13,,
speaker11_m_[n|nn]_utt14,,
speaker11_m_[n|nn]_utt15,,
speaker11_m_[n|nn]_utt16,,
speaker11_m_[n|nn]_utt17,,
speaker11_m_[n|nn]_utt18,,
speaker11_m_[n|nn]_utt19,,
speaker11_m_[n|nn]_utt20,,
speaker11_m_[n|nn]_utt21,,
speaker11_m_[n|nn]_utt22,,
speaker11_m_[n|nn]_utt23,,
speaker11_m_[n|nn]_utt24,,
speaker11_m_[n|nn]_utt25,,
speaker11_m_[n|nn]_utt26,,
speaker11_m_[n|nn]_utt27,,
speaker11_m_[n|nn]_utt28,,
speaker11_m_[n|nn]_utt29,,
speaker11_m_[n|nn]_utt30,,
speaker12_m_[n|nn]_utt01,,
speaker12_m_[n|nn]_utt02,,
speaker12_m_[n|nn]_utt03,,
speaker12_m_[n|nn]_utt04,,
speaker12_m_[n|nn]_utt05,,
speaker12_m_[n|nn]_utt06,,
speaker12_m_[n|nn]_utt07,,
speaker12_m_[n|nn]_utt08,,
speaker12_m_[n|nn]_utt09,,
speaker12_m_[n|nn]_utt10,,
speaker12_m_[n|nn]_utt11,,
speaker12_m_[n|nn]_utt12,,
speaker12_m_[n|nn]_utt13,,
speaker12_m_[n|nn]_utt14,,
speaker12_m_[n|nn]_utt15,,
speaker12_m_[n|nn]_utt16,,
speaker12_m_[n|nn]_utt17,,
speaker12_m_[n|nn]_utt18,,
speaker12_m_[n|nn]_utt19,,
speaker12_m_[n|nn]_utt20,,
speaker12_m_[n|nn]_utt21,,
speaker12_m_[n|nn]_utt22,,
speaker12_m_[n|nn]_utt23,,
speaker12_m_[n|nn]_utt24,,
speaker12_m_[n|nn]_utt25,,
speaker12_m_[n|nn]_utt26,,
speaker12_m_[n|nn]_utt27,,
speaker12_m_[n|nn]_utt28,,
speaker12_m_[n|nn]_utt29,,
speaker12_m_[n|nn]_utt30,,
speaker13_m_[n|nn]_utt01,Aku arep lungo menyang pasar kanggo tuku sayur-sayuran lan iwak seger kanggo masak ing wayah bengi.,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt02,Dhèwèké wis moco buku crita wayang sedino muput mergo kepengin ngerti luwih jero bab Pandawa lima.,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt03,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt04,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt05,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt06,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt07,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt08,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt09,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt10,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt11,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt12,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt13,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt14,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt15,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt16,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt17,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt18,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt19,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt20,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt21,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt22,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt23,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt24,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt25,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt26,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt27,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt28,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt29,,Redmi 10C + Dolby On
speaker13_m_[n|nn]_utt30,,Redmi 10C + Dolby On
speaker14_m_n_utt01,Sejumlah pangguna motor nang Suroboyo ngeluh motore mogok sakwise ngisi Bahan Bakar Minyak (BBM) jenis Pertalite nang SPBU Pertamina setempat.,
speaker14_m_n_utt02,"Dheweke ngaku lek motor kesayangane, Honda Beat sing anyar tuku rong wulan kepungkur, malah mogok sakwise ngisi Pertalite nang SPBU Pertamina Jalan Kayoon, Embong Kaliasin, Kecamatan Genteng, Kota Suroboyo.",
speaker14_m_n_utt03,"Sakmarine dijambret, korban ngekeki weruh uwong tuone.",
speaker14_m_n_utt04,"Pemerintah tetep komitmen arep terus mbukak informasi & nglakoni langkah-langkah pencegahan, ben kejadian semacam iki gak kedadean maneh.",
speaker14_m_n_utt05,Ngumbah sepeda malah udan,
speaker14_m_n_utt06,"Sakdurunge, kejadian sing podo pisan kedadian nang Tuban.",
speaker14_m_n_utt07,"Gak mek iku, Irfan pisan ngeroso dirugikno karo kedadian iki.",
speaker14_m_n_utt08,Irjen Pol Nanang nyebutno lek penggunaan gas air mata nang aksi demo wes sesuai SOP seng berlaku.,
speaker14_m_n_utt09,Gak sitik pengguna embong seng memilih mandek nang bahu dalan soale wedi diserang pelajar seng tawuran.,
speaker14_m_n_utt10,Wali Kota njaluk kejujuran pengusaha gawe nyampekno laporan pajak seng jujur.,
speaker14_m_n_utt11,Kasus pemalakan sneg dilakukno emak-emak berakhir damai.,
speaker14_m_n_utt12,"Sakmarine iku, pihake ngelakukno upaya tindak lanjut.",
